Element, float4.x, float4.y, float4.z, float4.w
166,  20.00,  20.00,  20.00,  20.00
167,  0.0293,  0.05859,  0.56348,  0.31445
168,  0.0293,  0.05859,  0.65723,  0.37695
169,  0.03872,  0.00759,  0.06506,  4.56771
170,  0.21003,  0.04457,  0.08449,  0.00
171,  0.97532,  0.9872,  1.03019, -4.56771
172, -0.16975,  0.30382,  0.02294,  0.28209
173,  0.00,  0.00,  0.00,  0.00
174,  0.00,  0.00,  0.00,  0.00
175,  0.00,  0.00,  0.00,  0.00
176,  0.00,  0.00,  0.00,  0.00
177,  0.00,  0.00,  0.00,  0.00
178,  0.00,  0.00,  0.00,  0.00
179,  0.00,  0.00,  0.00,  0.00
180,  0.00,  1.00,  1.00,  1.00
181,  20.00,  20.00,  20.00,  20.00
182,  0.0293,  0.05859,  0.87598,  0.43945
183,  0.01465,  0.0293,  0.48486,  0.93848
184,  0.83833,  0.22244,  1.09328,  5.75
185,  0.88208,  0.73879,  0.86655,  0.00
186,  0.81678,  0.80292,  0.27042, -5.75
187, -0.55154, -0.21768, -0.53611,  0.28209
188,  0.00,  0.00,  0.00,  0.00
189,  0.00,  0.00,  0.00,  0.00
190,  0.00,  0.00,  0.00,  0.00
191,  0.00,  0.00,  0.00,  0.00
192,  0.00,  0.00,  0.00,  0.00
193,  0.00,  0.00,  0.00,  0.00
194,  0.00,  0.00,  0.00,  0.00
195,  0.00,  1.00,  1.00,  1.00
196,  20.00,  20.00,  20.00,  20.00
197,  0.0293,  0.05859,  0.93848,  0.18945
198,  0.0293,  0.05859,  0.62598,  0.31445
199,  0.41736,  0.09365,  0.64938,  5.75
200,  0.43283,  0.19999,  0.56951,  0.00
201,  0.88021,  0.91841,  0.6127, -5.75
202, -0.30906,  0.05922, -0.53709,  0.28209
203,  0.00,  0.00,  0.00,  0.00
204,  0.00,  0.00,  0.00,  0.00
205,  0.00,  0.00,  0.00,  0.00
206,  0.00,  0.00,  0.00,  0.00
207,  0.00,  0.00,  0.00,  0.00
208,  0.00,  0.00,  0.00,  0.00
209,  0.00,  0.00,  0.00,  0.00
210,  0.00,  1.00,  1.00,  1.00
211,  20.00,  20.00,  20.00,  20.00
212,  0.0293,  0.05859,  0.87598,  0.18945
213,  0.0293,  0.05859,  0.62598,  0.18945
214,  0.04918,  0.01068,  0.07705,  5.18157
215,  0.29229,  0.09954,  0.1855,  0.00
216,  0.95847,  0.98856,  1.04033, -5.18157
217, -0.1175,  0.2616, -0.21074,  0.28209
218,  0.00,  0.00,  0.00,  0.00
219,  0.00,  0.00,  0.00,  0.00
220,  0.00,  0.00,  0.00,  0.00
221,  0.00,  0.00,  0.00,  0.00
222,  0.00,  0.00,  0.00,  0.00
223,  0.00,  0.00,  0.00,  0.00
224,  0.00,  0.00,  0.00,  0.00
225,  0.00,  1.00,  1.00,  1.00
226,  20.00,  20.00,  20.00,  20.00
227,  0.0293,  0.05859,  0.87598,  0.12695
228,  0.0293,  0.05859,  0.65723,  0.12695
229,  0.07884,  0.02284,  0.12891,  5.75
230,  0.2866,  0.03772,  0.11669,  0.00
231,  0.96081,  0.97716,  1.00, -5.75
232, -0.28371,  0.26888,  0.0794,  0.28209
233,  0.00,  0.00,  0.00,  0.00
234,  0.00,  0.00,  0.00,  0.00
235,  0.00,  0.00,  0.00,  0.00
236,  0.00,  0.00,  0.00,  0.00
237,  0.00,  0.00,  0.00,  0.00
238,  0.00,  0.00,  0.00,  0.00
239,  0.00,  0.00,  0.00,  0.00
240,  0.00,  1.00,  1.00,  1.00
241,  20.00,  20.00,  20.00,  20.00
242,  0.0293,  0.05859,  0.96973,  0.37695
243,  0.01465,  0.0293,  0.48486,  0.90723
244,  0.04602,  0.00908,  0.07692,  4.3385
245,  0.17301,  0.02691,  0.08882,  0.00
246,  0.96348,  0.9873,  1.04218, -4.3385
247, -0.1678,  0.29957, -0.03877,  0.28209
248,  0.00,  0.00,  0.00,  0.00
249,  0.00,  0.00,  0.00,  0.00
250,  0.00,  0.00,  0.00,  0.00
251,  0.00,  0.00,  0.00,  0.00
252,  0.00,  0.00,  0.00,  0.00
253,  0.00,  0.00,  0.00,  0.00
254,  0.00,  0.00,  0.00,  0.00
255,  1.00,  1.00,  1.00,  1.00
256,  20.00,  20.00,  20.00,  20.00
257,  0.24805,  0.49609,  0.75098,  0.50195
258,  0.12402,  0.24805,  0.25049,  0.25098
259,  0.67196,  0.20294,  0.84919,  5.75
260,  0.99766,  1.02505,  0.99425,  0.00
261,  0.85322,  0.84441,  0.37939, -5.75
262, -0.52342, -0.5442, -0.44804,  0.28209
263,  0.00,  0.00,  0.00,  0.00
264,  0.00,  0.00,  0.00,  0.00
265,  0.00,  0.00,  0.00,  0.00
266,  0.00,  0.00,  0.00,  0.00
267,  0.00,  0.00,  0.00,  0.00
268,  0.00,  0.00,  0.00,  0.00
269,  0.00,  0.00,  0.00,  0.00
270,  0.00,  1.00,  1.00,  1.00
271,  20.00,  20.00,  20.00,  20.00
272,  0.12305,  0.24609,  0.25098,  0.75195
273,  0.06152,  0.12305,  0.25049,  0.62598
274,  0.84359,  0.29563,  1.04792,  5.75
275,  0.99609,  0.91368,  0.92711,  0.00
276,  0.81678,  0.72973,  0.31577, -5.75
277, -0.51874, -0.45786, -0.45372,  0.28209
278,  0.00,  0.00,  0.00,  0.00
279,  0.00,  0.00,  0.00,  0.00
280,  0.00,  0.00,  0.00,  0.00
281,  0.00,  0.00,  0.00,  0.00
282,  0.00,  0.00,  0.00,  0.00
283,  0.00,  0.00,  0.00,  0.00
284,  0.00,  0.00,  0.00,  0.00
285,  0.00,  1.00,  1.00,  1.00
286,  20.00,  20.00,  20.00,  20.00
287,  0.0293,  0.05859,  0.90723,  0.12695
288,  0.0293,  0.05859,  0.65723,  0.18945
289,  0.216,  0.05992,  0.34225,  5.75
290,  0.74189,  0.69083,  0.59516,  0.00
291,  0.98845,  0.94008,  0.74555, -5.75
292, -0.37221, -0.36603, -0.35251,  0.28209
293,  0.00,  0.00,  0.00,  0.00
294,  0.00,  0.00,  0.00,  0.00
295,  0.00,  0.00,  0.00,  0.00
296,  0.00,  0.00,  0.00,  0.00
297,  0.00,  0.00,  0.00,  0.00
298,  0.00,  0.00,  0.00,  0.00
299,  0.00,  0.00,  0.00,  0.00
300,  1.00,  1.00,  1.00,  1.00
301,  0.00,  0.00,  0.00,  0.00
302,  0.06055,  0.12109,  0.81348,  0.62695
303,  1.00,  1.00,  0.00,  0.00
304,  0.19493,  0.04317,  0.30113,  5.75
305,  0.59978,  0.40737,  0.71848,  0.00
306,  0.95496,  0.95839,  0.81439, -5.75
307, -0.30029, -0.341, -0.37181,  0.28209
308,  0.00,  0.00,  0.00,  0.00
309,  0.00,  0.00,  0.00,  0.00
310,  0.00,  0.00,  0.00,  0.00
311,  0.00,  0.00,  0.00,  0.00
312,  0.00,  0.00,  0.00,  0.00
313,  0.00,  0.00,  0.00,  0.00
314,  0.00,  0.00,  0.00,  0.00
315,  1.00,  1.00,  1.00,  1.00
316,  0.00,  0.00,  0.00,  0.00
317,  0.06055,  0.12109,  0.75098,  0.87695
318,  1.00,  1.00,  0.00,  0.00
319,  0.21857,  0.04817,  0.33775,  5.75
320,  0.65289,  0.39318,  0.67077,  0.00
321,  0.92045,  0.96125,  0.8287, -5.75
322, -0.35472, -0.31598, -0.36548,  0.28209
323,  0.00,  0.00,  0.00,  0.00
324,  0.00,  0.00,  0.00,  0.00
325,  0.00,  0.00,  0.00,  0.00
326,  0.00,  0.00,  0.00,  0.00
327,  0.00,  0.00,  0.00,  0.00
328,  0.00,  0.00,  0.00,  0.00
329,  0.00,  0.00,  0.00,  0.00
330,  1.00,  1.00,  1.00,  1.00
331,  0.00,  0.00,  0.00,  0.00
332,  0.06055,  0.12109,  0.62598,  0.62695
333,  1.00,  1.00,  0.00,  0.00
334,  0.23157,  0.05193,  0.36014,  5.75
335,  0.68732,  0.31296,  0.66143,  0.00
336,  0.924,  0.95594,  0.81204, -5.75
337, -0.38002, -0.31456, -0.34931,  0.28209
338,  0.00,  0.00,  0.00,  0.00
339,  0.00,  0.00,  0.00,  0.00
340,  0.00,  0.00,  0.00,  0.00
341,  0.00,  0.00,  0.00,  0.00
342,  0.00,  0.00,  0.00,  0.00
343,  0.00,  0.00,  0.00,  0.00
344,  0.00,  0.00,  0.00,  0.00
345,  1.00,  1.00,  1.00,  1.00
346,  0.00,  0.00,  0.00,  0.00
347,  0.06055,  0.12109,  0.68848,  0.87695
348,  1.00,  1.00,  0.00,  0.00
349,  0.23782,  0.05461,  0.36763,  5.75
350,  0.72042,  0.42505,  0.64251,  0.00
351,  0.91775,  0.95323,  0.82613, -5.75
352, -0.40539, -0.3044, -0.3471,  0.28209
353,  0.00,  0.00,  0.00,  0.00
354,  0.00,  0.00,  0.00,  0.00
355,  0.00,  0.00,  0.00,  0.00
356,  0.00,  0.00,  0.00,  0.00
357,  0.00,  0.00,  0.00,  0.00
358,  0.00,  0.00,  0.00,  0.00
359,  0.00,  0.00,  0.00,  0.00
360,  1.00,  1.00,  1.00,  1.00
361,  0.00,  0.00,  0.00,  0.00
362,  0.06055,  0.12109,  0.62598,  0.75195
363,  1.00,  1.00,  0.00,  0.00
364,  0.18923,  0.05214,  0.31749,  5.75
365,  0.59696,  0.4724,  0.59036,  0.00
366,  0.99606,  0.94786,  0.7696, -5.75
367, -0.31139, -0.40107, -0.29914,  0.28209
368,  0.00,  0.00,  0.00,  0.00
369,  0.00,  0.00,  0.00,  0.00
370,  0.00,  0.00,  0.00,  0.00
371,  0.00,  0.00,  0.00,  0.00
372,  0.00,  0.00,  0.00,  0.00
373,  0.00,  0.00,  0.00,  0.00
374,  0.00,  0.00,  0.00,  0.00
375,  1.00,  1.00,  1.00,  1.00
376,  0.00,  0.00,  0.00,  0.00
377,  0.06055,  0.12109,  0.62598,  0.50195
378,  1.00,  1.00,  0.00,  0.00
379,  0.17306,  0.04663,  0.28082,  5.75
380,  0.63506,  0.44539,  0.60275,  0.00
381,  0.98803,  0.95337,  0.80795, -5.75
382, -0.33936, -0.36311, -0.28076,  0.28209
383,  0.00,  0.00,  0.00,  0.00
384,  0.00,  0.00,  0.00,  0.00
385,  0.00,  0.00,  0.00,  0.00
386,  0.00,  0.00,  0.00,  0.00
387,  0.00,  0.00,  0.00,  0.00
388,  0.00,  0.00,  0.00,  0.00
389,  0.00,  0.00,  0.00,  0.00
390,  1.00,  1.00,  1.00,  1.00
391,  0.00,  0.00,  0.00,  0.00
392,  0.06055,  0.12109,  0.62598,  0.87695
393,  1.00,  1.00,  0.00,  0.00
394,  0.15666,  0.03932,  0.25908,  5.75
395,  0.68164,  0.42648,  0.60011,  0.00
396,  0.97233,  0.96068,  0.84958, -5.75
397, -0.37745, -0.33076, -0.27604,  0.28209
398,  0.00,  0.00,  0.00,  0.00
399,  0.00,  0.00,  0.00,  0.00
400,  0.00,  0.00,  0.00,  0.00
401,  0.00,  0.00,  0.00,  0.00
402,  0.00,  0.00,  0.00,  0.00
403,  0.00,  0.00,  0.00,  0.00
404,  0.00,  0.00,  0.00,  0.00
405,  1.00,  1.00,  1.00,  1.00
406,  0.00,  0.00,  0.00,  0.00
407,  0.06055,  0.12109,  0.62598,  0.12695
408,  1.00,  1.00,  0.00,  0.00
409,  0.16524,  0.04071,  0.25454,  5.75
410,  0.76441,  0.3451,  0.57853,  0.00
411,  0.88335,  0.97445,  1.00, -5.75
412, -0.42061, -0.32093, -0.30687,  0.28209
413,  0.00,  0.00,  0.00,  0.00
414,  0.00,  0.00,  0.00,  0.00
415,  0.00,  0.00,  0.00,  0.00
416,  0.00,  0.00,  0.00,  0.00
417,  0.00,  0.00,  0.00,  0.00
418,  0.00,  0.00,  0.00,  0.00
419,  0.00,  0.00,  0.00,  0.00
420,  1.00,  1.00,  1.00,  0.00
421,  20.00,  20.00,  20.00,  20.00
422,  0.06055,  0.12109,  0.25098,  0.75195
423,  0.12109,  0.24219,  0.12695,  0.25391
424,  0.25265,  0.07308,  0.42515,  5.75
425,  0.60009,  0.87775,  0.83481,  0.00
426,  1.00,  0.94954,  0.57485, -5.75
427, -0.24225, -0.45906, -0.44454,  0.28209
428,  0.00,  0.00,  0.00,  0.00
429,  0.00,  0.00,  0.00,  0.00
430,  0.00,  0.00,  0.00,  0.00
431,  0.00,  0.00,  0.00,  0.00
432,  0.00,  0.00,  0.00,  0.00
433,  0.00,  0.00,  0.00,  0.00
434,  0.00,  0.00,  0.00,  0.00
435,  1.00,  0.00,  1.00,  0.00
436,  20.00,  20.00,  20.00,  20.00
437,  0.06055,  0.12109,  0.37598,  0.50195
438,  0.12109,  0.24219,  0.25195,  0.00391
439,  0.25723,  0.07529,  0.42508,  5.75
440,  0.63395,  0.88849,  0.81833,  0.00
441,  1.00,  0.94732,  0.57492, -5.75
442, -0.24187, -0.46562, -0.42804,  0.28209
443,  0.00,  0.00,  0.00,  0.00
444,  0.00,  0.00,  0.00,  0.00
445,  0.00,  0.00,  0.00,  0.00
446,  0.00,  0.00,  0.00,  0.00
447,  0.00,  0.00,  0.00,  0.00
448,  0.00,  0.00,  0.00,  0.00
449,  0.00,  0.00,  0.00,  0.00
450,  1.00,  1.00,  1.00,  0.00
451,  20.00,  20.00,  20.00,  20.00
452,  0.06055,  0.12109,  0.31348,  0.50195
453,  0.12109,  0.24219,  0.12695,  0.00391
454,  0.25695,  0.07654,  0.42769,  5.75
455,  0.71579,  0.91045,  0.84858,  0.00
456,  1.00,  0.94746,  0.57231, -5.75
457, -0.24978, -0.48204, -0.44892,  0.28209
458,  0.00,  0.00,  0.00,  0.00
459,  0.00,  0.00,  0.00,  0.00
460,  0.00,  0.00,  0.00,  0.00
461,  0.00,  0.00,  0.00,  0.00
462,  0.00,  0.00,  0.00,  0.00
463,  0.00,  0.00,  0.00,  0.00
464,  0.00,  0.00,  0.00,  0.00
465,  1.00,  0.00,  0.00,  0.00
466,  20.00,  20.00,  20.00,  20.00
467,  0.06055,  0.12109,  0.25098,  0.50195
468,  0.12109,  0.24219,  0.00195,  0.00391
469,  0.29741,  0.09017,  0.44811,  5.75
470,  0.71916,  0.84512,  0.82776,  0.00
471,  1.00,  0.93232,  0.55189, -5.75
472, -0.23188, -0.41897, -0.45065,  0.28209
473,  0.00,  0.00,  0.00,  0.00
474,  0.00,  0.00,  0.00,  0.00
475,  0.00,  0.00,  0.00,  0.00
476,  0.00,  0.00,  0.00,  0.00
477,  0.00,  0.00,  0.00,  0.00
478,  0.00,  0.00,  0.00,  0.00
479,  0.00,  0.00,  0.00,  0.00
480,  1.00,  1.00,  0.00,  0.00
481,  20.00,  20.00,  20.00,  20.00
482,  0.06055,  0.12109,  0.43848,  0.50195
483,  0.12109,  0.24219,  0.00195,  0.25391
484,  0.25833,  0.07632,  0.427,  5.75
485,  0.72526,  0.865,  0.82578,  0.00
486,  1.00,  0.94707,  0.573, -5.75
487, -0.23534, -0.43751, -0.43484,  0.28209
488,  0.00,  0.00,  0.00,  0.00
489,  0.00,  0.00,  0.00,  0.00
490,  0.00,  0.00,  0.00,  0.00
491,  0.00,  0.00,  0.00,  0.00
492,  0.00,  0.00,  0.00,  0.00
493,  0.00,  0.00,  0.00,  0.00
494,  0.00,  0.00,  0.00,  0.00
495,  1.00,  0.00,  0.00,  0.00
496,  20.00,  20.00,  20.00,  20.00
497,  0.06055,  0.12109,  0.25098,  0.87695
498,  0.12109,  0.24219,  0.25195,  0.25391
499,  0.25578,  0.07443,  0.42703,  5.75
500,  0.70943,  0.88762,  0.8536,  0.00
501,  1.00,  0.94798,  0.57297, -5.75
502, -0.23919, -0.45168, -0.42869,  0.28209
503,  0.00,  0.00,  0.00,  0.00
504,  0.00,  0.00,  0.00,  0.00
505,  0.00,  0.00,  0.00,  0.00
506,  0.00,  0.00,  0.00,  0.00
507,  0.00,  0.00,  0.00,  0.00
508,  0.00,  0.00,  0.00,  0.00
509,  0.00,  0.00,  0.00,  0.00
510,  1.00,  0.00,  0.00,  0.00
511,  20.00,  20.00,  20.00,  20.00
512,  0.06055,  0.12109,  0.37598,  0.62695
513,  0.12109,  0.24219,  0.50195,  0.00391
514,  0.25045,  0.07206,  0.44595,  5.75
515,  0.72475,  0.81099,  0.83829,  0.00
516,  1.00,  0.95046,  0.55405, -5.75
517, -0.23137, -0.3906, -0.45309,  0.28209
518,  0.00,  0.00,  0.00,  0.00
519,  0.00,  0.00,  0.00,  0.00
520,  0.00,  0.00,  0.00,  0.00
521,  0.00,  0.00,  0.00,  0.00
522,  0.00,  0.00,  0.00,  0.00
523,  0.00,  0.00,  0.00,  0.00
524,  0.00,  0.00,  0.00,  0.00
525,  1.00,  0.00,  0.00,  0.00
526,  20.00,  20.00,  20.00,  20.00
527,  0.06055,  0.12109,  0.31348,  0.62695
528,  0.12109,  0.24219,  0.37695,  0.25391
529,  0.25758,  0.07475,  0.42815,  5.75
530,  0.68574,  0.84942,  0.92165,  0.00
531,  1.00,  0.94772,  0.57185, -5.75
532, -0.22605, -0.43108, -0.47927,  0.28209
533,  0.00,  0.00,  0.00,  0.00
534,  0.00,  0.00,  0.00,  0.00
535,  0.00,  0.00,  0.00,  0.00
536,  0.00,  0.00,  0.00,  0.00
537,  0.00,  0.00,  0.00,  0.00
538,  0.00,  0.00,  0.00,  0.00
539,  0.00,  0.00,  0.00,  0.00
540,  1.00,  0.00,  0.00,  0.00
541,  20.00,  20.00,  20.00,  20.00
542,  0.06055,  0.12109,  0.25098,  0.62695
543,  0.12109,  0.24219,  0.37695,  0.00391
544,  0.25562,  0.07626,  0.42384,  5.75
545,  0.64873,  0.8485,  0.79937,  0.00
546,  1.00,  0.94604,  0.57616, -5.75
547, -0.23432, -0.42552, -0.4198,  0.28209
548,  0.00,  0.00,  0.00,  0.00
549,  0.00,  0.00,  0.00,  0.00
550,  0.00,  0.00,  0.00,  0.00
551,  0.00,  0.00,  0.00,  0.00
552,  0.00,  0.00,  0.00,  0.00
553,  0.00,  0.00,  0.00,  0.00
554,  0.00,  0.00,  0.00,  0.00
555,  1.00,  1.00,  1.00,  1.00
556,  20.00,  20.00,  20.00,  20.00
557,  0.49805,  0.99609,  0.00098,  0.00195
558,  0.24902,  0.49805,  0.00049,  0.00098
559,  0.31199,  0.08971,  0.47513,  5.75
560,  0.55276,  1.024,  1.09142,  0.00
561,  1.00,  0.92994,  0.52487, -5.75
562, -0.19025, -0.46596, -0.53307,  0.28209
563,  0.00,  0.00,  0.00,  0.00
564,  0.00,  0.00,  0.00,  0.00
565,  0.00,  0.00,  0.00,  0.00
566,  0.00,  0.00,  0.00,  0.00
567,  0.00,  0.00,  0.00,  0.00
568,  0.00,  0.00,  0.00,  0.00
569,  0.00,  0.00,  0.00,  0.00
570,  1.00,  0.00,  0.00,  0.00
571,  20.00,  20.00,  20.00,  20.00
572,  0.24805,  0.49609,  0.00098,  0.50195
573,  0.12402,  0.24805,  0.12549,  0.50098
574,  0.24931,  0.07283,  0.42315,  5.75
575,  0.72562,  0.86336,  0.77731,  0.00
576,  1.00,  0.95118,  0.57685, -5.75
577, -0.42905, -0.46731, -0.4346,  0.28209
578,  0.00,  0.00,  0.00,  0.00
579,  0.00,  0.00,  0.00,  0.00
580,  0.00,  0.00,  0.00,  0.00
581,  0.00,  0.00,  0.00,  0.00
582,  0.00,  0.00,  0.00,  0.00
583,  0.00,  0.00,  0.00,  0.00
584,  0.00,  0.00,  0.00,  0.00
585,  1.00,  0.00,  0.00,  0.00
586,  20.00,  20.00,  20.00,  20.00
587,  0.24805,  0.49609,  0.00098,  0.00195
588,  0.12402,  0.24805,  0.00049,  0.50098
589,  0.34755,  0.09941,  0.50,  5.75
590,  0.68068,  0.95882,  1.10479,  0.00
591,  1.00,  0.9165,  0.50, -5.75
592, -0.32432, -0.44036, -0.55349,  0.28209
593,  0.00,  0.00,  0.00,  0.00
594,  0.00,  0.00,  0.00,  0.00
595,  0.00,  0.00,  0.00,  0.00
596,  0.00,  0.00,  0.00,  0.00
597,  0.00,  0.00,  0.00,  0.00
